"_id","first_name","last_name","GP","Min_per","stops","oreb","dreb","treb","ast","stl","blk","pts"
"65d5e15e016cc2be02ffcde2","Tra'Vaughn","White","30","41.5","76.6232","0.2667","1.5667","1.8333","1.2667","0.3667","0.0333","7.3667"
"65d5e15e016cc2be02ffd968","Bryce","White","12","29.1","52.8851","0.3846","3.6923","4.0769","1.7692","0.6923","0.3846","9.5385"
"65d5e15e016cc2be02ffd986","Ronnie","White","2","2","5.08593","0.6667","2.6667","3.3333","0","0","0","1.6667"
"65d5e15e016cc2be02ffda92","Joniah","White","25","12.1","29.3566","0.5385","0.7692","1.3077","0.0385","0.0385","0.7308","1.0769"
"65d5e15e016cc2be02ffdcbf","Austin","White","24","13","23.2089","0.1481","0.5926","0.7407","0.4444","0.1111","0","2.2963"
"65d5e15e016cc2be02ffde69","Trinson","White","17","19.4","30.2179","0.8421","1.0526","1.8947","0.6842","0.2632","0.1579","2.7895"
"65d5e15e016cc2be02ffde98","Ramon","White","1","0.1","0.0972982","0","0","0","0","0","0","0"
"65d5e15e016cc2be02ffe045","Paul","White","33","45.3","103.882","0.3939","2.3939","2.7879","1.2424","0.4242","0.5758","5"
"65d5e15f016cc2be02ffed4b","Lawrence","White","26","51.1","122.095","0.5769","2.3462","2.9231","1.1923","1.3462","0.1923","4.8077"
"65d5e15f016cc2be02ffede4","Jackson","White","8","1.7","2.8956","0.25","0.25","0.5","0.25","0","0","0.625"
"65d5e15f016cc2be02ffef19","Chandler","White","7","1.9","4.05779","0.2857","0.5714","0.8571","0","0","0","0.8571"
"65d5e15f016cc2be02fff0a8","Andrien","White","33","64.4","178.591","0.5455","2.8182","3.3636","1.0606","1.6061","0.1818","10.7273"
"65d5e15f016cc2be02fff168","Isaac","White","28","78.1","138.786","0.1786","2.5357","2.7143","2.2857","0.8571","0.1071","11.75"
"65d5e15f016cc2be02fff19f","Javan","White","22","24.1","61.7934","1.1818","2.4545","3.6364","0.3636","0.2727","0.9545","3.9545"
"65d5e15f016cc2be02fffd2f","Derrick","White","33","81.6","207.998","1.0294","3.0588","4.0882","4.3529","1.2353","1.4412","18.0882"
"65d5e15f016cc2be02ffffd1","Maliek","White","33","28.6","69.8296","0.1515","0.8485","1","1.3333","0.6061","0.0606","2.4848"
"65d5e15f016cc2be0200005c","Felix","White","5","2","3.40142","0.1667","0.6667","0.8333","0","0","0.1667","0"
"65d5e15f016cc2be020000eb","","","32","65.5","170.381","2.1143","4.5429","6.6571","1.2286","0.8571","1.1143","12.8857"
"65d5e15f016cc2be02000405","Jack","White","10","4.1","11.7286","0.2","1.1","1.3","0.1","0.1","0.2","2.1"
"65d5e15f016cc2be02001154","Romello","White","31","58.3","151.356","2.5484","4.5484","7.0968","0.4194","0.2581","0.7419","10.4839"
"65d5e160016cc2be020016a9","Jalanni","White","25","18.6","45.2536","0.88","0.76","1.64","0.32","0.28","0.48","2.24"
"65d5e160016cc2be02001738","Isaiah","White","23","53.4","135.069","1.1667","3.4583","4.625","0.7917","1.2083","1.2083","11.0833"
"65d5e160016cc2be0200240f","Coby","White","35","69.2","202.343","0.3429","3.2","3.5429","4.0857","1.0857","0.3143","16.0571"
"65d5e160016cc2be02002424","CJ","White","23","19.5","38.1269","0.3913","1.3478","1.7391","0.7826","0.1304","0.087","1.913"
"65d5e160016cc2be020026dd","Dalvin","White","29","50.9","85.484","0.1875","1.3438","1.5312","2.8125","0.5312","0.0312","4.5312"
"65d5e160016cc2be020027fe","Youry","White","13","7.1","17.8204","0.3077","1.2308","1.5385","0.2308","0.1538","0","1"
"65d5e160016cc2be020028f6","Tyree","White","34","47","116.694","1.2","1.8571","3.0571","0.6857","0.4857","0.7714","5.5143"
"65d5e160016cc2be020033d6","Myja","White","27","32.8","57.1644","0.1034","0.8276","0.931","0.5517","0.3103","0","2.2759"
"65d5e160016cc2be02003937","Taveion","White","20","12.8","26.1036","0.9524","0.6667","1.619","0.1429","0.2381","0.2381","0.9524"
"65d5e161016cc2be02004dc1","Juwan","White","5","1","1.26925","0.3333","0.1667","0.5","0.5","0.1667","0","0.3333"
"65d5e160016cc2be0200358a","Joseph","White II","2","0.2","0.360366","0","0","0","0","0","0","1"
"65d5e15d016cc2be02ffbbae","Andrew","White III","25","8.3","25.9943","0.28","0.88","1.16","0.04","0.16","0.08","2.24"
"65d5e15c016cc2be02ff7167","","","36","72.1","153.911","0.1667","1.7778","1.9444","2.7222","0.9167","0.0556","12"
"65d5e15d016cc2be02ffb4e3","","","33","24.2","45.5586","0.2424","0.6061","0.8485","0.303","0.1818","0.0909","4.0909"
"65d5e15f016cc2be02001396","","","35","41.2","121.934","1.5429","2.3143","3.8571","0.7429","0.4286","0.9143","5.4286"
"65d5e161016cc2be02004f6b","","","10","21.3","37.314","0.6","2.8","3.4","0.9","0.3","0.4","7.4"
"65d5e15d016cc2be02ff952b","Shaquille","White-Miller","24","46.1","76.4256","0.2917","0.9583","1.25","2.7917","0.75","0","4.2083"
"65d5e15e016cc2be02ffd8c0","Greg","White-Pittman","15","9.9","15.125","0.1176","0.3529","0.4706","0.3529","0.1765","0","2.3529"
"65d5e15c016cc2be02ff6c5d","Josiah","Whitehead","35","42.3","94.678","0.9714","1.6857","2.6571","0.6571","0.4","0.1429","4.2"
